Price,buyer,seller,est. buyer,est. seller
50.0,0.9999683287581669,9.865876450376946e-10,0.40688741461493055,1.4778428637653825e-05
50.5025125628,0.9999608833638427,1.3427721084868654e-09,0.4068614849344781,1.614437664188943e-05
51.0050251256,0.9999518037312323,1.8230516365724267e-09,0.40683306822498216,1.763657341642491e-05
51.5075376884,0.9999407590699138,2.469028156965445e-09,0.4068019263438859,1.9266686872278654e-05
52.0100502513,0.9999273579811266,3.3356765668957058e-09,0.40676779842587507,2.1047463128289476e-05
52.5125628141,0.9999111387104727,4.495448809962734e-09,0.40673039873090416,2.2992826118928825e-05
53.0150753769,0.9998915581052109,6.043573834315377e-09,0.40668941429167105,2.5117986398902547e-05
53.5175879397,0.9998679791553832,8.104881912550414e-09,0.4066445023425083,2.743955999266581e-05
54.0201005025,0.99983965699621,1.0842566014858373e-08,0.40659528751017254,2.997569821499017e-05
54.5226130653,0.999805723249413,1.446939699762376e-08,0.40654135874542946,3.274622947387918e-05
55.0251256281,0.9997651685837379,1.9262037509365664e-08,0.4064822659726595,3.577281416006627e-05
55.527638191,0.9997168233804303,2.5579256702574094e-08,0.4064175164329394,3.907911382875684e-05
56.0301507538,0.9996593363981772,3.388503992943214e-08,0.40634657069420227,4.269097598995331e-05
56.5326633166,0.9995911513445592,4.4777821442374476e-08,0.4062688383001428,4.663663594446432e-05
57.0351758794,0.9995104812777942,5.9027351686240576e-08,0.4061836730275341,5.0946937234443805e-05
57.5376884422,0.9994152807839397,7.762105327304988e-08,0.4060903677195636,5.5655572421022815e-05
58.040201005,0.9993032159011768,1.0182213176390527e-07,0.40598814866071453,6.0799346058345064e-05
58.5427135678,0.9991716317946611,1.332422010367536e-07,0.4058761694566277,6.641846190425367e-05
59.0452261307,0.9990175182230134,1.739317720034132e-07,0.40575350438032604,7.255683659426129e-05
59.5477386935,0.9988374728810132,2.2649265318452128e-07,0.4056191411442146,7.926244220861932e-05
60.0502512563,0.9986276627525724,2.942171393863782e-07,0.40547197305543675,8.658768038376075e-05
60.5527638191,0.9983837836635483,3.8125983952399614e-07,0.40531079051055874,9.458979086071746e-05
61.0552763819,0.9981010182852279,4.928491374218386e-07,0.4051342717842454,0.0001033312976260181
61.5577889447,0.9977739929060152,6.355466129100208e-07,0.4049409730657133,0.00011288049608692557
62.0603015075,0.9973967333604228,8.175642990926481e-07,0.4047293176964194,0.00012331198503466668
62.5628140704,0.9969626205801447,1.049151441112223e-06,0.4044975845628501,0.00013470724748868997
63.0653266332,0.9964643463107838,1.343064479000541e-06,0.40424389559960455,0.0001471552848842913
63.567839196,0.9958938696185023,1.7151363298840801e-06,0.40396620236046105,0.00016075330946764465
64.0703517588,0.9952423748920035,2.1849637205508585e-06,0.40366227161906426,0.00017560750019901588
64.5728643216,0.9945002321251526,2.7767343471241807e-06,0.40332966996659986,0.0001918338279396004
65.0753768844,0.9936569603422979,3.5202190395946115e-06,0.40296574738174085,0.00020955895621298077
65.5778894472,0.9927011950998482,4.4519579076645945e-06,0.4025676197586926,0.0002289212243919255
66.0804020101,0.991620661061616,5.6166736589684635e-06,0.4021321503928856,0.0002500717207685073
66.5829145729,0.9904021506994317,7.068949923600667e-06,0.4016559304413535,0.00027317545362390906
67.0854271357,0.989031510212049,8.875217494667567e-06,0.4011352583967827,0.0002984126291276097
67.5879396985,0.9874936337818477,1.1116096898105767e-05,0.4005661186414135,0.0003259800456677796
68.0904522613,0.9857724672977808,1.3889151618966916e-05,0.39994415918025294,0.00035609261504979714
68.5929648241,0.98385102266196,1.7312112603759263e-05,0.3992646686933794,0.0003889850219020366
69.0954773869,0.9817114037639999,2.152664127983157e-05,0.39852255309548135,0.00042491353360167014
69.5979899497,0.979334845149714,2.6702705213538342e-05,0.3977123118482393,0.00046415797408264086
70.1005025126,0.9767017643273568,3.3043647576178006e-05,0.39682801433880494,0.0005070238760173339
70.6030150754,0.9737918285440638,4.079203868159403e-05,0.3958632767165166,0.0005538448270770807
71.1055276382,0.97058403672676,5.023640485414006e-05,0.3948112396710654,0.0006049850272783608
71.608040201,0.9670568171154219,6.171893660141732e-05,0.39366454773939236,0.0006608420758150495
72.1105527638,0.9631881409227131,7.564428429026534e-05,0.3924153308461346,0.0007218500072653878
72.6130653266,0.9589556521338827,9.248955500931287e-05,0.39105518891351804,0.0007884825986477949
73.1155778894,0.9543368133163799,0.00011281562876346782,0.3895751805206392,0.0008612569704837016
73.6180904523,0.9493090670426603,0.00013727991526549992,0.38796581674768854,0.0009407375068082557
74.1206030151,0.9438500122456371,0.0001666506740131859,0.386217061505308,0.0010275401209496125
74.6231155779,0.9379375945284883,0.00020182301968058535,0.38431833981901714,0.00112233689587069
75.1256281407,0.9315503091440362,0.0002438367316939984,0.3822585557077749,0.0012258611299278217
75.6281407035,0.9246674150493673,0.00029389598076903073,0.38002612145645925,0.0013389128210387303
76.1306532663,0.9172691581349781,0.0003533910757018295,0.3776090002240801,0.0014623646244542121
76.6331658291,0.9093370014311786,0.0004239223203758101,0.3749947640398148,0.001597168321575417
77.135678392,0.9008538598147935,0.0005073260533113776,0.37217066930147435,0.0017443618395263961
77.6381909548,0.8918043364834721,0.0006057029197159396,0.3691237518866636,0.0019050768634484168
78.1407035176,0.8821749582403221,0.0007214483984848394,0.3658409438938218,0.0020805470856866187
78.6432160804,0.8719544064450169,0.0008572855736133309,0.3623092138243044,0.0022721171381400165
79.1457286432,0.8611337403455239,0.001016300100728783,0.3585157316722593,0.002481252255977937
79.648241206,0.8497066094130805,0.001201977274756809,0.3544480598811096,0.0027095487226105074
80.1507537688,0.8376694512671266,0.0014182410540237531,0.3500943704314084,0.0029587451471405194
80.6532663317,0.8250216718007658,0.0016694948394352705,0.3454436874276255,0.0032307346264003477
81.1557788945,0.8117658042039452,0.001960663744978082,0.34048615344312894,0.0035275778439482343
81.6582914573,0.7979076437326684,0.0022972380280679642,0.3352133165686395,0.0038515171578907543
82.1608040201,0.783456355288476,0.0026853172758079377,0.3296184336127875,0.004204991727908971
82.6633165829,0.7684245511520034,0.00313165486683361,0.32369678326902646,0.004590653729149966
83.1658291457,0.7528283365549053,0.0036437021491425975,0.3174459813609959,0.005011385696418327
83.6683417085,0.7366873211716272,0.004229651693396724,0.3108662886051198,0.005470319036025194
84.1708542714,0.7200245950606272,0.004898478900151242,0.3039608998069628,0.005970853734334552
84.6733668342,0.7028666680765612,0.005659981160036229,0.2967362021798751,0.006516679281033163
85.175879397,0.6852433723022233,0.006524813690038807,0.2892019896964478,0.007111796810917125
85.6783919598,0.6671877276020651,0.007504521098860743,0.28137162021043255,0.007760542449939798
86.1809045226,0.6487357709674895,0.008611563672165118,0.2732621026570931,0.008467611828723338
86.6834170854,0.6299263508966171,0.009859337316825886,0.26489410305490735,0.009238085698943216
87.1859296482,0.6108008886163361,0.011262186064578494,0.2562918603365385,0.010077456554107649
87.6884422111,0.5914031085004393,0.012835406012292343,0.2474830062041005,0.010991656115351469
88.1909547739,0.5717787405530212,0.014595239570957036,0.2384982871203864,0.011987083493951665
88.6934673367,0.5519751982999981,0.016558858910793502,0.2293711910141478,0.0130706337842981
89.1959798995,0.5320412358532688,0.018744337527881818,0.22013748601532968,0.01424972677293464
89.6984924623,0.5120265882724337,0.021170608920269486,0.21083468320883164,0.01553233536994078
90.2010050251,0.4919815996400443,0.023857411450278497,0.20150143963911032,0.016927013277328058
90.7035175879,0.4719568434816448,0.026825218585789762,0.19217692126004896,0.018442921304372556
91.2060301508,0.45200274029644394,0.030095153857282172,0.1829001479036166,0.02008985162121592
91.7085427136,0.43216917701536395,0.033688890039341536,0.17370934342351851,0.021878249109287866
92.2110552764,0.4125051331692611,0.03762853226459531,0.16464131385753014,0.023819228820275692
92.7135678392,0.39305831843204997,0.04193648500320753,0.15573087477311304,0.02592458839530372
93.216080402,0.3738748260040292,0.04663530309004853,0.14701034606752916,0.028206814124386786
93.7185929648,0.35499880602429545,0.05174752725155781,0.1385091286425263,0.030679079145961217
94.2211055276,0.3364721628540346,0.057295504871440806,0.130253372893904,0.033355232101672606
94.7236180905,0.3183342796623485,0.06330119703426675,0.12226574421047956,0.036249774378709444
95.2261306533,0.30062177328221207,0.06978597319360287,0.11456528602122859,0.03937782389900083
